"sgSCR_pre_r1"	"sgSCR_pre_r2"	"sgSCR_pre_r3"	"MBD2KO_pre_r1"	"MBD2KO_pre_r2"	"MBD2KO_pre_r3"	"sgSCR_post_r1"	"sgSCR_post_r2"	"sgSCR_post_r3"	"MBD2KO_post_r1"	"MBD2KO_post_r2"	"MBD2KO_post_r3"
"A2M"	1.75802384766813	1.26450451256695	1.4668128222764	1.50061909563424	0.968339683978306	1.8721817148028	2.40742025836525	2.58858620811999	3.75604067776298	3.2854086821302	2.28115196059119	3.12470551679595
"A2ML1"	1.13754484260879	1.11573927579436	0.838178755586515	0.868779476419823	0.484169841989153	0.886822917538169	0.837363568127043	0.808933190037497	1.05638644062084	1.7084125147077	2.64133384910559	1.87482331007757
"A4GALT"	13.4437117762857	17.1823848472332	17.0778921450752	23.0621461013262	21.1098051107271	19.1159606669339	28.4703613163195	28.7171282463311	27.818176269682	22.4721953857706	27.3738235270943	24.9976441343676
"AAAS"	8.99694557336045	9.66974039021782	9.21996631145167	8.76677471660003	12.2979139865245	7.09458334030535	18.1079871607473	16.4213437577612	15.4936677957723	15.5071289796546	18.1291550552247	20.3105858591737
"AACS"	54.4987392777121	57.1258509206714	60.7679597800224	27.9589031502379	31.5678736976928	27.6885822031362	53.0679161300513	47.7270582122123	51.6455593192409	25.2319386787599	27.0136416385799	26.7162321686054
"AADAT"	3.82628719786594	4.83487019510891	5.02907253351909	1.18469928602703	2.32401524154793	1.28096643644402	2.09340892031761	2.58858620811999	1.40851525416112	0.262832694570416	0.600303147523997	0.312470551679595
"AAGAB"	119.855861143963	116.334415156159	114.306627793111	117.048289459471	100.513659196948	113.808941084065	89.3885608975618	99.2561024176009	88.9712135545105	85.5520420826705	88.3646233155324	79.2112848507773
"AAK1"	35.3673032883825	30.4968735383793	34.1557842901505	28.1958430074433	28.56602067736	32.5168403097328	47.3110415991779	42.6307791149761	42.0207050824733	33.9054175995837	34.3373400383726	30.9345846162799
"AAMDC"	2.0682633501978	2.97530473545164	3.35271502234606	3.23817804847388	2.5176831783436	2.9560763917939	6.48956765298458	4.77270582122123	5.98618983018474	6.5708173642604	6.24315273424957	4.99952882687352
"AAMP"	78.5940073075166	80.4076104755805	82.8749244586167	86.167128070366	98.3833118921959	86.9086459187405	57.6734157547501	61.8024957188648	62.3267999966294	60.3201034039105	55.2278895722078	65.1501100251955
"AAR2"	13.0300591062462	15.9922629530526	17.1826644895236	13.979451575119	17.5269482800073	13.9920949211578	16.0145782404297	14.9652640156937	13.9677762704311	11.3018058665279	13.8069723930519	14.0611748255818
"AARS1"	243.538009485791	241.4459792819	288.333491921761	347.906690329938	289.146229635922	235.205144907068	474.785143128033	486.411527169547	493.684596583471	735.668712102595	753.140328883607	780.863908647308
"AARS2"	64.012750688622	58.7622685251698	67.1590727913695	61.1304831589948	62.3610756482029	53.1108391725637	67.9311194643063	65.0382284790148	70.4257627080558	53.8807023869353	52.9467376116166	57.1821109573659
"AARSD1"	4.34335303541539	4.98363543188149	5.23861722241572	3.39613795327749	3.58285683071973	4.03997106878499	4.8148405167305	6.14789224428498	4.57767457602363	5.25665389140832	5.64284958672557	4.84329355103372
"AASDH"	44.0540093592132	39.7203182182794	38.975312134773	43.2020339637857	33.0203832236602	38.0348495744148	52.0212116698925	53.7131638184898	51.5281830480608	59.1373562783436	59.9102541228949	54.3698759922495
"AASDHPPT"	110.238436565543	104.28443097758	97.3335079924841	105.912116170817	90.6365944203695	102.674386674975	84.7830612728631	70.6198674902735	77.2335864365012	73.1989054378609	81.1609855452444	71.0870505071078
"AASS"	14.3744302838747	18.149358886255	15.6110793227988	26.0633842925947	26.4356733726078	25.7178646086069	6.17555631493694	6.79503879631497	6.6904474572653	6.5708173642604	8.88448658335516	9.84282237790724
"AATBC"	0.20682633501978	0.892591420635491	0.314317033344943	0.552859666812614	0.968339683978306	0.886822917538169	2.09340892031761	2.18411961310124	1.05638644062084	5.25665389140832	3.60181888514398	2.03105858591737
"AATF"	90.9001742411935	92.2344467990008	92.4092078034133	92.0116445480994	97.8023080818089	89.766186430808	91.2726289258477	100.631288840665	99.3003254183587	80.9524699276882	87.6442595385036	86.398107539408
"ABALON"	1.75802384766813	1.41326974933953	1.88590220006966	1.50061909563424	1.45250952596746	1.77364583507634	1.88406802828585	1.37518642306374	1.87802033888149	3.02257598755979	3.12157636712479	3.59341134431534
"ABAT"	3.30922136031649	3.49598306415567	3.14317033344943	4.26491742969731	3.19552095712841	5.51800926468194	2.51209070438113	2.50769288911624	3.87341694894307	3.94249041855624	3.00151573761999	3.12470551679595
"ABCA1"	0.310239502529671	0.148765236772582	0.628634066689886	2.05347876244685	2.03351333635444	2.85754051206743	2.93077248844465	2.02233297509374	1.99539661006158	4.99382119683791	2.76139447861039	4.53082299935413
"ABCA17P"	17.5802384766813	18.5212719781864	15.0872176005573	15.7959904803604	18.9794578059748	18.3276736291222	18.3173280527791	16.4213437577612	16.0805491516727	14.1929655068025	16.3282456126527	15.3110570323002
"ABCA2"	1.75802384766813	1.71080022288469	2.2002192334146	2.36939857205406	3.97019270431106	3.05461227152036	3.24478382649229	2.75037284612749	3.05178305068242	2.62832694570416	2.40121259009599	2.34352913759696
"ABCA3"	0.413652670039561	0.743826183862909	0.733406411138201	1.18469928602703	1.16200762077397	1.97071759452926	1.77939758226997	0.889826509041247	2.11277288124167	1.18274712556687	1.44072755405759	1.56235275839797
"ABCA5"	6.72185588814286	5.20678328704037	4.60998315572583	1.73755895283965	0.677837778784814	1.67510995534987	6.3848972069687	6.55235883930373	6.10356610136484	3.41682502941541	3.12157636712479	2.18729386175716
"ABCA7"	40.3311353288572	50.6545631210641	58.8820575799527	70.9239972568182	95.8656287138523	66.7087905748156	91.6913107099112	96.1012629764546	100.121959316619	158.225282131391	154.277908913667	187.013625180238
"ABCB10"	309.929263027141	328.845555885792	291.581434599659	441.418953973672	400.795795198621	394.242054785579	318.198155888276	317.425383770714	325.014894897677	663.258304748445	687.587225173986	539.167936923141
"ABCB10P1"	15.2017356239539	16.364176044984	19.4876560673865	20.4558076720667	15.0092651016637	18.4262095088486	17.6893053766838	15.8550905247349	21.5972338971371	34.8253320305801	29.7750361171903	31.7157609954789
"ABCB10P3"	6.51502955312308	8.03332278571942	8.6961045892101	8.52983485939462	6.19737397746116	10.0506597320992	7.74561300517515	6.47146552029998	11.8550033891894	18.7925376617848	14.8875180585951	14.9985864806206
"ABCB10P4"	20.9928730045077	18.0749762678687	16.9731198006269	20.4558076720667	18.4952879639856	16.4554919143194	28.6797022083512	32.9235808345261	23.5926305071987	21.6836973020593	28.3343085631327	25.1538794102074
"ABCB6"	9.5140114109099	8.47961849603717	8.80087693365841	13.9004716227172	15.6871028804486	15.6672048765076	5.54753363884166	4.04466595018749	6.57307118608521	18.1354559253587	17.6489125372055	17.8108214457369
"ABCB7"	79.5247258151056	76.5397143194934	77.321990202856	90.6689853572688	79.5006880546189	84.8393924444848	68.5591421404016	70.5389741712697	70.4257627080558	112.623809623423	118.739962580247	107.333634501941
"ABCB8"	23.7850285272748	27.5215688029276	31.4317033344943	30.1703418174884	42.9942819686368	27.7871180828626	31.1917929127323	32.8426875155224	29.8135728797436	32.3284214321612	31.2157636712479	36.8715250981922
"ABCB9"	1.75802384766813	2.30586116997502	1.88590220006966	2.52735847685767	5.61637016707418	3.54729167015267	3.14011338047641	1.86054633708624	1.6432677965213	4.07390676584145	4.32218266217278	5.78070520607251
"ABCC1"	29.6795790753385	27.2984209477688	28.4980776899415	22.0354067201028	27.3071790881882	24.7325058113423	42.0775192983839	39.0714730788111	38.2646644047103	16.0327943687954	15.7279424651287	18.1232919974165
"ABCC10"	25.439639207433	25.5132381064978	27.8694436232516	26.7742038642109	32.0520435396819	29.9549074368448	31.7151451428117	28.5553416083236	29.3440677950232	21.6836973020593	22.9315802354167	27.3411732719646
