GO_Biological_Process_2018.Term	GO_Biological_Process_2018.Overlap	GO_Biological_Process_2018.P.value	GO_Biological_Process_2018.Adjusted.P.value	GO_Biological_Process_2018.Old.P.value	GO_Biological_Process_2018.Old.Adjusted.P.value	GO_Biological_Process_2018.Odds.Ratio	GO_Biological_Process_2018.Combined.Score	GO_Biological_Process_2018.Genes
ribosome biogenesis (GO:0042254)	143/226	2.09368765004372e-14	1.06840880781731e-10	0	0	1.65142467136072	52.015359452488	LTV1;RPL5;RPL30;RPL3;RPL31;POP4;RPP30;RRP1;RPL8;NOC2L;RPL6;RPL7;RRP9;RPS17;SAMD15;RPS16;RPL18A;RPL35;RPL38;RPP38;RRP7BP;RPS7;IMP3;PIH1D1;RPL23;RPL22;GTF3A;WDR75;IMP4;CSNK1D;TSC1;CSNK1E;EBNA1BP2;XRN2;MRTO4;SBDS;PIH1D2;RPL29;RPP25;RPL28;ISG20L2;NOLC1;SNU13;RPS4Y1;RPF2;RPF1;RRP7A;PDCD11;DHX37;RRS1;SURF6;UTP20;LYAR;RPL41;NOP14;MTERF3;NOP16;PNO1;MTERF4;RPS26;RCL1;TBL3;RPS27;GNL3L;LAS1L;EIF6;RPS29;MPHOSPH10;RPS20;NOL11;RPS21;SETD4;DDX49;NVL;PAK1IP1;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;MRPL36;WDR46;WDR43;XPO1;NOB1;RIOK2;UTP14A;PELP1;DIS3L2;UTP15;WDR36;UTP11;DIS3;TEX10;DDX56;RPL13A;RPS3A;URB2;DDX52;GNL2;GNL1;UTP18;SENP3;GNL3;LSG1;RPL37A;NAF1;DDX27;NIP7;HEATR1;NOL8;MALSU1;SDAD1;NOL6;EXOSC10;EXOSC4;EXOSC9;PES1;BMS1;EXOSC8;HEATR3;RPS2;EXOSC3;RPP14;RPL17;EXOSC2;EXOSC1;DCAF13;RPL19;NOP56;NPM1;UTP6;NOP58;RIOK3;DDX31;RPL23A;RRP1B;WDR12;TSR1;ABCE1;RAN;RPL26L1;MPHOSPH6
rRNA processing (GO:0006364)	125/202	8.5601887764517e-12	2.18413216631165e-08	0	0	1.61506428601884	41.1581349378043	LTV1;RPL5;RPL30;RPL3;RPL31;POP4;RPP30;RRP1;THUMPD1;RPL8;RPL6;RPL7;RRP9;RPS17;SAMD15;RPS16;RPL18A;RPL35;RPL38;RPP38;RRP7BP;RPS7;IMP3;PIH1D1;RPL23;RPL22;WDR75;IMP4;CSNK1D;CSNK1E;EBNA1BP2;XRN2;MRTO4;SBDS;NHP2;PIH1D2;SRFBP1;RPL29;RPP25;RPL28;NOP2;ISG20L2;NOLC1;SNU13;RPS4Y1;RPF1;RRP7A;PDCD11;DHX37;UTP20;LYAR;RPL41;NOP14;PNO1;RPS26;RCL1;TBL3;RPS27;LSM6;LAS1L;EIF6;RPS29;MPHOSPH10;RPS20;NOL11;RPS21;DDX49;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;NAT10;TFB1M;WDR46;WDR43;NOB1;RIOK2;UTP14A;UTP14C;PELP1;DIS3L2;UTP15;WDR36;WDR37;UTP11;DIS3;TEX10;DDX56;RPL13A;RPS3A;DDX52;UTP18;SENP3;NSA2;RPL37A;DDX27;HEATR1;MAK16;NOL8;NOL6;EXOSC10;EXOSC4;EXOSC9;PES1;BMS1;EXOSC8;RPS2;EXOSC3;RPP14;RPL17;EXOSC2;EXOSC1;DCAF13;RPL19;NOP56;UTP6;NOP58;RIOK3;RPL23A;RRP1B;WDR12;RSL1D1;TSR1;MPHOSPH6
ncRNA processing (GO:0034470)	137/227	1.20626361990236e-11	2.05185441745391e-08	0	0	1.57516437185147	39.6010631218453	LTV1;RPL5;RPL30;RPL3;POP1;RPL31;POP4;RPP30;RRP1;RPL8;RPL6;RPL7;RRP9;THG1L;RPS17;SAMD15;RPS16;RPL18A;RPL35;RPL38;RPP38;RRP7BP;RPS7;IMP3;PIH1D1;RPL23;RPL22;METTL3;WDR75;IMP4;CSNK1D;DICER1;CSNK1E;EBNA1BP2;XRN2;MRTO4;SBDS;PIH1D2;RPL29;RPP25;RPL28;ISG20L2;NOLC1;SNU13;RPS4Y1;RPF1;RRP7A;PDCD11;DHX37;UTP20;LYAR;SMAD2;SMAD1;RPL41;NOP14;SMAD3;INTS1;PNO1;INTS2;RPS26;RCL1;TBL3;LIN28B;RPS27;LAS1L;AGO3;RPS29;AGO4;AGO1;AGO2;INTS4;MPHOSPH10;INTS7;RPS20;NOL11;RPS21;INTS8;DDX49;RPLP1;WDR3;DIS3L;MRPS12;INTS10;RPLP0;WDR46;WDR43;FARS2;NOB1;RIOK2;UTP14A;PELP1;DIS3L2;UTP15;WDR36;UTP11;NCBP1;DIS3;TEX10;DDX56;RPL13A;RPS3A;DDX52;UTP18;SENP3;MRPL44;RPL37A;DDX27;HEATR1;SRRT;NOL8;NOL6;EXOSC10;EXOSC4;EXOSC9;PES1;BMS1;EXOSC8;DROSHA;RPS2;EXOSC3;RPP14;RPL17;EXOSC2;EXOSC1;DCAF13;RPL19;NOP56;UTP6;NOP58;SSB;RIOK3;ADAT1;RPL23A;RRP1B;WDR12;TSR1;MPHOSPH6
rRNA metabolic process (GO:0016072)	121/200	1.50292527368456e-10	1.91735691790308e-07	0	0	1.5790160511549	35.7148759253566	LTV1;RPL5;RPL30;RPL3;RPL31;POP4;RPP30;RRP1;RPL8;RPL6;RPL7;RRP9;RPS17;SAMD15;RPS16;RPL18A;RPL35;RPL38;RPP38;RRP7BP;RPS7;IMP3;PIH1D1;RPL23;RPL22;GTF3A;WDR75;IMP4;CSNK1D;CSNK1E;EBNA1BP2;XRN1;SLFN14;XRN2;MRTO4;SBDS;PIH1D2;RPL29;RPP25;RPL28;ISG20L2;NOLC1;SNU13;RPS4Y1;DEDD2;RPF1;RRP7A;PDCD11;DHX37;UTP20;LYAR;RPL41;NOP14;PNO1;RPS26;RCL1;TBL3;RPS27;LAS1L;RPS29;MPHOSPH10;RPS20;NOL11;RPS21;DDX49;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;WDR46;WDR43;NOB1;SPIN1;RIOK2;UTP14A;PELP1;DIS3L2;UTP15;WDR36;UTP11;DIS3;TEX10;DDX56;RPL13A;RPS3A;DDX52;UTP18;SENP3;RPL37A;GTF3C1;DDX27;HEATR1;NOL8;NOL6;EXOSC10;EXOSC4;EXOSC9;PES1;BMS1;EXOSC8;RPS2;EXOSC3;RPP14;RPL17;EXOSC2;EXOSC1;DCAF13;RPL19;NOP56;UTP6;NOP58;CAVIN1;BRF1;NIFK;RIOK3;RPL23A;RRP1B;WDR12;TSR1;MPHOSPH6
regulation of cellular response to stress (GO:0080135)	71/104	5.46574888737855e-10	5.57834331445855e-07	0	0	1.78178861462171	38.0008290257705	YWHAE;SMG1;NUP107;NUP188;CASP9;RPTOR;CRHBP;ING2;CHORDC1;NUP62;EP300;IER3;NUP214;NDC1;HSP90AA1;ARMT1;NUP210;NUP133;HSBP1;SIRT1;NUP93;DNAJC2;IMPACT;DNAJC7;MAPKAPK2;AKT1S1;NUP98;FKBP4;PRKN;NUP205;POM121;SEH1L;NUP160;ARNTL;BAG4;HSPH1;BAG5;POM121C;BAG2;NUP85;BAG3;TPR;HSF1;ABL1;MAPK1;NUP43;CAMK2G;MCL1;RANBP2;HSPA8;CREBBP;NPM1;PNPT1;NUP155;NEK4;PTGES3;RPA1;RPA2;NUP153;EIF2AK4;MTOR;RSL1D1;PINK1;RPA3;NUP35;ATM;HSPA1B;EIF4G1;ATR;HSPA1A;NUP37
gene expression (GO:0010467)	212/411	2.38363020976017e-08	2.02727749340103e-05	0	0	1.34624842792157	23.6294279585246	RPL5;ISCA2;RPL30;RPL3;NUP107;RPL31;EIF4A3;SCX;HNRNPU;RPL8;PWP1;RPL6;RPL7;GLE1;RPS17;RPS16;RPL18A;CLP1;DHX57;RPL35;RPL38;AGFG1;NUP214;MEF2A;NUP210;RPL23;RPL22;CDC40;SRRM1;THAP1;NUP93;RRAGC;XRN2;NUP98;RPL29;RPL28;NUP205;POM121;SEH1L;DHX9;MRPL18;SNU13;BAZ2B;RPS4Y1;GATA2;MRPL13;GSPT1;DEDD2;MRPL11;DHX32;POM121C;DHX33;NUP85;DHX34;DHX35;DHX36;DHX37;TSPAN5;SYMPK;RPL39L;NFE2;RPL41;MRPL24;RPL3L;SETX;RPS26;PPP5C;HNRNPK;RPS27;RPS29;AGO2;MPHOSPH10;MMS19;RNPS1;RPS20;RPS21;FARSB;HBS1L;SMG1;MRPS15;MRPS16;MRPS14;RPLP1;MRPS11;RPLP0;MRPS12;AKR1B1;MRPL36;ASH2L;MRPL34;SMG7;MRPL41;MRPL42;SYNCRIP;DHX15;DHX16;UPF2;NDC1;NCOA1;TESC;MRPS2;MRPS21;MRPS7;MRPS6;MRPL43;TOPORS;MRPS5;WDR33;MRPL44;MRPL52;MRPL51;MED20;PTMA;MRRF;FYTTD1;RPS2;RPL17;RPL19;RANBP2;GATB;RSL1D1;ZNF219;ZBTB25;NUP188;YARS2;HELB;RPS7;THOC1;THOC3;THOC2;ILF2;THOC7;PRPF4;HNRNPUL1;SNRPG;NHP2;SRSF3;SRSF4;SRSF5;SRSF7;SRSF9;YTHDC2;NUP160;TPR;COA1;NUP155;CPSF3;ALYREF;NUP153;LSM7;COPS5;TCF3;EIF4G1;CALCOCO1;NXT1;THRB;CELF2;DUSP11;MRPL4;RBM3;MRPL3;HHEX;NUP62;EIF5A;NCBP1;NUP133;NCBP2;DHPS;RPL13A;TFIP11;RPS3A;DDX19A;DDX19B;RPL37A;RBMS1;GTF3C1;GTF3C2;GTF3C3;GTF3C4;NUFIP1;EEF1A1P5;SMARCD3;GTF3C6;SRSF1;DDX20;RRBP1;POLR2A;FIP1L1;PABPN1;TAF1B;POLR2B;POLR2E;E2F1;DROSHA;POLR2G;IGF2BP3;NUP43;POLR2I;EIF4E;POLR2K;RNGTT;SWT1;RPL23A;SORL1;SNRNP40;TSPAN14;POLR3A;TNIP1;DRG1;NUP35;BUD13;NUP37
regulation of mRNA stability (GO:0043488)	80/128	2.43338516265126e-08	1.77393778357277e-05	0	0	1.63121492887903	28.5974771384792	FASTKD1;YWHAB;FMR1;HNRNPU;HSPB1;ELAVL1;PSMD8;PSMD9;ZFP36;PSMD6;METTL14;XPO1;KHSRP;PSMD2;PSMD3;AKT1;PSMD1;TNPO1;METTL16;NUP214;DIS3;SLC11A1;PRKCD;METTL3;CIRBP;PRKCA;YWHAZ;PSMA5;CARHSP1;PSMA3;PSMA4;XRN1;THRAP3;PSME3;MAPKAPK2;PSME4;DCP2;PSMD10;SET;ANP32A;PSMD14;PSMD13;PARN;ZFP36L2;PSMB10;TBRG4;PSMB6;LARP1;EXOSC4;PSMB5;UBB;PSMB2;PSMB3;EXOSC9;EXOSC8;E2F1;IGF2BP1;IGF2BP3;PSMF1;EXOSC3;ZC3H14;EXOSC2;EXOSC1;HSPA8;NPM1;YTHDF2;YTHDF3;SAMD4A;SAMD4B;PUM1;PSMB8;PSMB9;PSMC5;PSMC6;PSMC2;SERBP1;VIM;DCP1A;EIF4G1;HSPA1A
DNA repair (GO:0006281)	156/288	2.88710058162493e-08	1.841609283504e-05	0	0	1.41371960502849	24.5427774214811	DCLRE1B;DCLRE1A;DCLRE1C;TRRAP;MPG;CIB1;PARK7;BACH1;ALKBH3;ENDOV;CHEK2;CHEK1;MEN1;WDHD1;NSMCE3;USP3;NSMCE1;LIG3;WRNIP1;CSNK1E;CHD1L;INIP;EID3;MSH2;POLG2;MSH3;FANCD2;MSH4;PSME4;MSH5;PMS2P3;PMS2P1;DNA2;UBE2V1;ASF1A;FTO;EXD2;BLM;PRKDC;CDCA5;XPA;PDS5A;RAD51AP1;UBB;ABL1;ZRANB3;BARD1;FANCI;UVRAG;XRCC4;UBE2B;FANCM;XRCC5;GADD45A;FANCL;XRCC2;FANCA;HMGA2;INO80;FANCE;PALB2;FANCG;FANCF;SETX;POLA1;TDP1;UBE2N;NABP2;RAD17;NABP1;MMS19;ATM;MNAT1;RAD18;TP73;ATR;RAD9A;BTG2;SMG1;GTF2H2C;CETN2;HMGB2;BRCA1;HMGB1;BABAM1;BABAM2;NIPBL;PAXX;SUMO1;POLI;TOPBP1;POLK;POLH;PRMT6;RMI2;RFC3;RBM14;PARP4;RFC4;PARP1;USP45;RAD23A;PARP9;SIRT1;WDR33;RAD51B;RNF168;RAD51D;RAD51C;NSMCE4A;FAN1;PCNA;ABRAXAS1;PNKP;RNF8;FAAP24;UNG;POLD3;WRN;TDG;UBE2NL;POLD2;RBBP8;ASCC2;ASCC3;PMS1;MUTYH;CDKN2D;NPM1;CENPX;EYA1;POLN;ERCC6L2;MGMT;EYA3;RPA1;HUWE1;RPA2;GTF2H1;GTF2H2;MLH1;GTF2H3;MLH3;GTF2H5;REC8;MTOR;TICRR;SMUG1;RPA3;POLE2;ERCC1;ERCC2;ERCC8;TRIP13;NOP53;CENPS
regulation of cellular response to heat (GO:1900034)	54/78	2.96231244426324e-08	1.67963115589726e-05	0	0	1.80688422891216	31.3218151045559	YWHAE;NUP107;NUP188;RPTOR;CHORDC1;NUP62;EP300;IER5;NUP214;NDC1;HSP90AA1;NUP210;NUP133;HSBP1;SIRT1;NUP93;DNAJC2;DNAJC7;MAPKAPK2;AKT1S1;NUP98;FKBP4;NUP205;POM121;SEH1L;NUP160;BAG4;HSPH1;BAG5;POM121C;BAG2;NUP85;BAG3;HSF1;TPR;MAPK1;NUP43;CAMK2G;RANBP2;HSPA8;CREBBP;NUP155;PTGES3;RPA1;RPA2;NUP153;MTOR;RPA3;NUP35;ATM;HSPA1B;HSPA1A;ATR;NUP37
mitochondrial translation (GO:0032543)	69/107	3.58459894613387e-08	1.82922084221211e-05	0	0	1.68304792661911	28.8542311235402	MRPS15;GFM1;MRPS16;MRPS14;GFM2;MRPS11;MRPS12;MRPL39;MRPS10;MRPL36;MRPL34;MRPL33;MRPL4;MRPL41;MRPL3;MRPL42;MTRF1;CHCHD1;EARS2;RARS2;TSFM;MRPS26;MRPS27;MRPS25;MRPS22;MRPS2;MRPS21;MRPL47;MRPS7;QRSL1;MRPL45;MRPS6;MRPL46;MRPS5;MRPL43;TUFM;MRPL44;MRPL52;LARS2;MRPL50;MRPL51;MRRF;DAP3;MRPS35;MRPL18;MRPL19;MRPS34;MRPL16;MRPS31;MRPL17;MTIF2;MRPL15;MTIF3;MRPS30;MRPL13;MRPL57;MRPL11;MRPL20;IARS2;PTCD3;MTERF3;MTERF4;GATC;GATB;ERAL1;MRPL24;MRPL21;MRPL22;MRPL30
