Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
regulation of mitotic cell cycle phase transition (GO:1901990)	63/184	5.50422419891169e-06	0.0280880560870464	0	0	1.69626606067786	20.541773045901	CEP57;CEP164;KIF14;CDC14A;CDC20;PSMD8;PSMD2;PSMD3;CNTRL;PSMD1;CEP250;KNTC1;BTRC;CEP290;TMEM14B;CEP135;HAUS4;CSNK1D;TUBG1;DYNLL1;HAUS2;HAUS1;ZW10;CEP63;MAPRE1;UBA52;SFI1;SDCCAG8;PSMD11;ANAPC16;PSMD13;HMMR;ZFP36L2;PSMB10;ANAPC11;AURKA;PSMB6;FZR1;PSMB5;PRKAR2B;CEP192;PSMF1;PCNT;CEP76;CEP78;NPM2;UBE2C;NEK6;NDE1;MBD1;CEP152;PSMB9;ANLN;NEDD1;PSMC5;RGCC;CDK6;PSMC3;PSMC4;ID2;ALMS1;PTPN6;CEP41
neutrophil degranulation (GO:0043312)	136/479	8.58279749770543e-06	0.0218990078153954	0	0	1.40661304643943	16.4091970592845	CYFIP1;ATP8A1;GMFG;EPX;PYCARD;PNP;LAMP1;PSMD2;FTH1;PSMD3;LAMP2;PSMD1;CPNE3;ENPP4;NHLRC3;CYBA;SCAMP1;ATAD3B;RAB31;DOK3;ADAM8;PRTN3;SLC27A2;VCL;FTL;CFD;VCP;PSMD11;BRI3;PSMD13;MGST1;IQGAP1;IQGAP2;PLD1;C3;PLAC8;CNN2;SDCBP;NEU1;MLEC;RAB6A;S100A11;ELANE;HSPA8;ATP8B4;FUCA1;IDH1;FUCA2;PRG2;RAB27A;GGH;DNAJC13;AZU1;ARPC5;LYZ;EEF2;IGF2R;PTPRC;NIT2;CRISP3;ITGB2;CTSZ;PTPRJ;PYGL;HMGB1;CTSS;FCGR3B;GM2A;NAPRT;CTSH;CD36;CEP290;CD33;CTSB;CAP1;HGSNAT;SERPINB1;MANBA;ANXA2;APAF1;MME;ARG1;GAA;NDUFC2;ANO6;TMC6;KCNAB2;DYNLL1;TNFRSF1B;VAMP7;PKM;RAP2B;LRRC7;NPC2;TMBIM1;CAT;ALDOC;PLEKHO2;CD47;ACPP;ALDOA;DOCK2;CD44;CSTB;CD63;ASAH1;GRN;PDXK;ROCK1;GSTP1;PGRMC1;ALOX5;STOM;CD59;AGA;CD58;CMTM6;MAPK14;SVIP;GALNS;ERP44;FCGR2A;PSMC3;VAPA;RAB14;GLB1;IMPDH2;DLC1;SLCO4C1;RAB18;PTPN6;S100P;YPEL5;HSPA1B;FRK;HSPA1A
neutrophil activation involved in immune response (GO:0002283)	136/483	1.35202989997178e-05	0.0229980285985199	0	0	1.39496407711074	15.6393863863129	CYFIP1;ATP8A1;GMFG;EPX;PYCARD;PNP;LAMP1;PSMD2;FTH1;PSMD3;LAMP2;PSMD1;CPNE3;ENPP4;NHLRC3;CYBA;SCAMP1;ATAD3B;RAB31;DOK3;ADAM8;PRTN3;SLC27A2;VCL;FTL;CFD;VCP;PSMD11;BRI3;PSMD13;MGST1;IQGAP1;IQGAP2;PLD1;C3;PLAC8;CNN2;SDCBP;NEU1;MLEC;RAB6A;S100A11;ELANE;HSPA8;ATP8B4;FUCA1;IDH1;FUCA2;PRG2;RAB27A;GGH;DNAJC13;AZU1;ARPC5;LYZ;EEF2;IGF2R;PTPRC;NIT2;CRISP3;ITGB2;CTSZ;PTPRJ;PYGL;HMGB1;CTSS;FCGR3B;GM2A;NAPRT;CTSH;CD36;CEP290;CD33;CTSB;CAP1;HGSNAT;SERPINB1;MANBA;ANXA2;APAF1;MME;ARG1;GAA;NDUFC2;ANO6;TMC6;KCNAB2;DYNLL1;TNFRSF1B;VAMP7;PKM;RAP2B;LRRC7;NPC2;TMBIM1;CAT;ALDOC;PLEKHO2;CD47;ACPP;ALDOA;DOCK2;CD44;CSTB;CD63;ASAH1;GRN;PDXK;ROCK1;GSTP1;PGRMC1;ALOX5;STOM;CD59;AGA;CD58;CMTM6;MAPK14;SVIP;GALNS;ERP44;FCGR2A;PSMC3;VAPA;RAB14;GLB1;IMPDH2;DLC1;SLCO4C1;RAB18;PTPN6;S100P;YPEL5;HSPA1B;FRK;HSPA1A
neutrophil mediated immunity (GO:0002446)	136/487	2.10266929995409e-05	0.0268248035941643	0	0	1.38350646662113	14.899974264509	CYFIP1;ATP8A1;GMFG;EPX;PYCARD;PNP;LAMP1;PSMD2;FTH1;PSMD3;LAMP2;PSMD1;CPNE3;ENPP4;NHLRC3;CYBA;SCAMP1;ATAD3B;RAB31;DOK3;ADAM8;PRTN3;SLC27A2;VCL;FTL;CFD;VCP;PSMD11;BRI3;PSMD13;MGST1;IQGAP1;IQGAP2;PLD1;C3;PLAC8;CNN2;SDCBP;NEU1;MLEC;RAB6A;S100A11;ELANE;HSPA8;ATP8B4;FUCA1;IDH1;FUCA2;PRG2;RAB27A;GGH;DNAJC13;AZU1;ARPC5;LYZ;EEF2;IGF2R;PTPRC;NIT2;CRISP3;ITGB2;CTSZ;PTPRJ;PYGL;HMGB1;CTSS;FCGR3B;GM2A;NAPRT;CTSH;CD36;CEP290;CD33;CTSB;CAP1;HGSNAT;SERPINB1;MANBA;ANXA2;APAF1;MME;ARG1;GAA;NDUFC2;ANO6;TMC6;KCNAB2;DYNLL1;TNFRSF1B;VAMP7;PKM;RAP2B;LRRC7;NPC2;TMBIM1;CAT;ALDOC;PLEKHO2;CD47;ACPP;ALDOA;DOCK2;CD44;CSTB;CD63;ASAH1;GRN;PDXK;ROCK1;GSTP1;PGRMC1;ALOX5;STOM;CD59;AGA;CD58;CMTM6;MAPK14;SVIP;GALNS;ERP44;FCGR2A;PSMC3;VAPA;RAB14;GLB1;IMPDH2;DLC1;SLCO4C1;RAB18;PTPN6;S100P;YPEL5;HSPA1B;FRK;HSPA1A
cellular response to nutrient levels (GO:0031669)	24/54	4.68567048295984e-05	0.0478219529490882	0	0	2.20185506289048	21.9490082224489	PLEKHF2;SREBF1;HSPA8;RIPOR1;CDKN2B;BMPR2;RALB;USP33;LRRK2;AKR1C3;FOXO1;WRN;MAP1LC3A;RRAGC;STK24;STK26;LAMP2;RRAGD;ALB;PDK4;ULK1;GAS2L1;PDK2;FADS1
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	14/25	8.38331145074463e-05	0.0713000638885831	0	0	2.77433737924201	26.0418240362313	ELOVL1;HACD1;DGAT2;ELOVL5;ACSL1;ELOVL2;ACSL6;ACSL5;ACSL4;HSD17B12;HACD2;FAR1;ACSBG1;FAR2
regulation of cell cycle G2/M phase transition (GO:1902749)	32/84	0.0001149406551931	0.0837917376357696	0	0	1.88730433962042	17.1199162123605	CEP57;CEP164;KIF14;HMMR;AURKA;PRKAR2B;CNTRL;CEP250;CEP192;PCNT;CEP290;CEP76;CEP78;CEP135;NDE1;MBD1;CEP152;HAUS4;CSNK1D;DYNLL1;TUBG1;HAUS2;HAUS1;NEDD1;CDK6;ALMS1;CEP63;CEP41;MAPRE1;ATF5;SFI1;SDCCAG8
ciliary basal body-plasma membrane docking (GO:0097711)	35/96	0.000157486027753253	0.100456399953106	0	0	1.80620923127735	15.8154819776909	CEP57;CEP164;PRKAR2B;TMEM67;CNTRL;TCTN1;CEP250;CEP192;PCNT;CEP290;CEP76;CEP78;CEP135;NDE1;MBD1;CEP152;RAB3IP;HAUS4;KIF24;CSNK1D;RPGRIP1L;TUBG1;DYNLL1;HAUS2;HAUS1;AHI1;NEDD1;ALMS1;CEP162;B9D1;CEP63;CEP41;MAPRE1;SFI1;SDCCAG8
regulation of erythrocyte differentiation (GO:0045646)	16/32	0.000158722977928285	0.0899959284853378	0	0	2.4770869457518	21.6704239595114	LYN;HSPA9;LDB1;PRMT1;ARNT;FOXO3;ACVR1B;MAPK14;GATA1;FAM210B;ZFP36;CDK6;TAL1;ZFPM1;HSPA1B;HSPA1A
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	11/18	0.000172250078815143	0.0878992152193673	0	0	3.02755071147442	26.2384595534608	ELOVL1;HACD1;ELOVL5;ACSL1;ELOVL2;ACSL6;ACSL5;ACSL4;ACSBG1;HSD17B12;HACD2
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	49/149	0.000178488571002357	0.0828024707113664	0	0	1.62922497103138	14.0618178943042	CEP57;CEP164;KIF14;PSMD8;PSMD2;PSMD3;CNTRL;PSMD1;CEP250;CEP290;CEP135;HAUS4;CSNK1D;TUBG1;DYNLL1;HAUS2;HAUS1;RAD51B;RAD51C;CEP63;MAPRE1;UBA52;SFI1;SDCCAG8;PSMD11;PSMD13;VPS4B;HMMR;PSMB10;AURKA;PSMB6;PSMB5;PRKAR2B;CEP192;PSMF1;PCNT;CEP76;CEP78;NDE1;MBD1;CEP152;PSMB9;NEDD1;PSMC5;CDK6;PSMC3;PSMC4;ALMS1;CEP41
protein glycosylation (GO:0006486)	44/130	0.000180617095367923	0.0768074198052094	0	0	1.67679731712429	14.4525361772779	ST6GALNAC1;POGLUT1;TUSC3;TNKS;CCDC126;GALNT18;MPI;POMT1;FUT1;ART4;SERP1;FUT9;MGAT5;ST3GAL4;ST8SIA4;MAN1C1;MGAT2;ST3GAL1;B3GALNT2;ALG1L2;GALNT6;ALG8;PARP4;ALG6;GALNT2;GALNT1;COG3;PMM2;B3GALT4;SIRT4;TET1;MOGS;PARP16;ALG1;PARP14;PARP9;PARP10;B3GNT9;B4GAT1;NPC1;DAD1;B3GNT5;TET3;ALG10B
plasma membrane bounded cell projection assembly (GO:0120031)	72/241	0.000208232453750007	0.0817392470374067	0	0	1.48008514600937	12.5464679639515	SPAG16;CYFIP1;TTC26;CEP19;CEP164;FNBP1L;PTPDC1;CDC14A;RPGR;TBC1D32;TCTN1;TMEM107;ARFIP2;BBS9;IFT57;CEP290;BBS4;DYNC2H1;MKKS;CCDC113;KIF24;IFT80;EMP2;ANO6;DYNLL1;MTSS1;CD2AP;IFT88;IFT43;FAM161A;IFT81;KIT;FSCN1;RAPGEF2;TNIK;CFAP54;IFT46;FAM92A;VCL;ARHGEF6;NTN1;FGD3;FGD4;SDCBP;STK36;KIF3A;TMEM67;INPP5K;FOPNL;PCNT;RILP;BBS2;CARMIL1;DMTN;MBD1;DNAH14;TMEM231;EHD1;ATAT1;AHI1;TTC30B;UBXN10;KIAA0586;STK26;PMP22;CEP162;B9D1;FXYD5;CEP41;DZIP1;CLUAP1;C5ORF30
chaperone mediated protein folding requiring cofactor (GO:0051085)	13/24	0.000236577183098218	0.0862323832393004	0	0	2.68351085789778	22.4052655891	HSPA9;ERO1A;HSPA8;HSPA5;HSPA1L;HSPA4L;DNAJB14;HSPA2;GAK;BAG1;HYOU1;HSPA1B;HSPA1A
