",sgSCR_pre_r1,sgSCR_pre_r2,sgSCR_pre_r3,MBD2KO_pre_r1,MBD2KO_pre_r2,MBD2KO_pre_r3,sgSCR_post_r1,sgSCR_post_r2,sgSCR_post_r3,MBD2KO_post_r1,MBD2KO_post_r2,MBD2KO_post_r3"
"1" ",\"A2M,17,17,14,19,10,19,23,32,32,25,19,20\""
"2" ",\"A2ML1,11,15,8,11,5,9,8,10,9,13,22,12\""
"3" ",\"A4GALT,130,231,163,292,218,194,272,355,237,171,228,160\""
"4" ",\"AAAS,87,130,88,111,127,72,173,203,132,118,151,130\""
"5" ",\"AACS,527,768,580,354,326,281,507,590,440,192,225,171\""
"6" ",\"AADAT,37,65,48,15,24,13,20,32,12,2,5,2\""
"7" ",\"AAGAB,1159,1564,1091,1482,1038,1155,854,1227,758,651,736,507\""
"8" ",\"AAK1,342,410,326,357,295,330,452,527,358,258,286,198\""
"9" ",\"AAMDC,20,40,32,41,26,30,62,59,51,50,52,32\""
"10" ",\"AAMP,760,1081,791,1091,1016,882,551,764,531,459,460,417\""
"11" ",\"AAR2,126,215,164,177,181,142,153,185,119,86,115,90\""
"12" ",\"AARS1,2355,3246,2752,4405,2986,2387,4536,6013,4206,5598,6273,4998\""
"13" ",\"AARS2,619,790,641,774,644,539,649,804,600,410,441,366\""
"14" ",\"AARSD1,42,67,50,43,37,41,46,76,39,40,47,31\""
"15" ",\"AASDH,426,534,372,547,341,386,497,664,439,450,499,348\""
"16" ",\"AASDHPPT,1066,1402,929,1341,936,1042,810,873,658,557,676,455\""
"17" ",\"AASS,139,244,149,330,273,261,59,84,57,50,74,63\""
"18" ",\"AATBC,2,12,3,7,10,9,20,27,9,40,30,13\""
"19" ",\"AATF,879,1240,882,1165,1010,911,872,1244,846,616,730,553\""
"20" ",\"ABALON,17,19,18,19,15,18,18,17,16,23,26,23\""
"21" ",\"ABAT,32,47,30,54,33,56,24,31,33,30,25,20\""
"22" ",\"ABCA1,3,2,6,26,21,29,28,25,17,38,23,29\""
"23" ",\"ABCA17P,170,249,144,200,196,186,175,203,137,108,136,98\""
"24" ",\"ABCA2,17,23,21,30,41,31,31,34,26,20,20,15\""
"25" ",\"ABCA3,4,10,7,15,12,20,17,11,18,9,12,10\""
"26" ",\"ABCA5,65,70,44,22,7,17,61,81,52,26,26,14\""
"27" ",\"ABCA7,390,681,562,898,990,677,876,1188,853,1204,1285,1197\""
"28" ",\"ABCB10,2997,4421,2783,5589,4139,4001,3040,3924,2769,5047,5727,3451\""
"29" ",\"ABCB10P1,147,220,186,259,155,187,169,196,184,265,248,203\""
"30" ",\"ABCB10P3,63,108,83,108,64,102,74,80,101,143,124,96\""
"31" ",\"ABCB10P4,203,243,162,259,191,167,274,407,201,165,236,161\""
"32" ",\"ABCB6,92,114,84,176,162,159,53,50,56,138,147,114\""
"33" ",\"ABCB7,769,1029,738,1148,821,861,655,872,600,857,989,687\""
"34" ",\"ABCB8,230,370,300,382,444,282,298,406,254,246,260,236\""
"35" ",\"ABCB9,17,31,18,32,58,36,30,23,14,31,36,37\""
"36" ",\"ABCC1,287,367,272,279,282,251,402,483,326,122,131,116\""
"37" ",\"ABCC10,246,343,266,339,331,304,303,353,250,165,191,175\""
"38" ",\"ABCC13,0,2,2,14,15,13,2,1,2,42,47,36\""
