logFC	logCPM	F	PValue	FDR	rank
TRIM10	4.61704702197898	7.04536727941093	3154.35641076145	1.53799980196427e-18	2.22025651411563e-14	17.8130437204552
AHNAK	-2.65655974484387	8.02134190907815	1672.68802783052	1.56930763138279e-16	7.64879290312926e-13	-15.804291913318
MYO18B	6.79316043338713	4.5826802327647	1669.7478399087	1.58952470971099e-16	7.64879290312926e-13	15.7987327164389
SLC4A1	4.18265932551966	9.10639960703328	1454.96403995952	4.32608777403811e-16	1.56128507765036e-12	15.3639046732017
CPEB4	2.28085532919114	7.53459366498419	1385.06333138593	6.18653516096127e-16	1.78617643167274e-12	15.2085525144331
SLC2A1	2.55528750670443	8.49796907797661	1320.44304666664	8.7524794398746e-16	1.83275136836689e-12	15.0578689007468
DST	2.15054636619518	7.34416281769022	1317.67204984471	8.88699056426172e-16	1.83275136836689e-12	15.0512452809425
RORA	2.54179874925802	6.37744256856016	1060.06519798539	4.3033597355359e-15	7.76541264277452e-12	14.3661923479384
ELMO1	-2.76861338191378	6.00615400212639	1030.76559790361	5.27160715371876e-15	7.92223147022799e-12	-14.2780569613369
GRAP2	2.89728676574526	5.41824934752383	1025.05757226109	5.48783005696037e-15	7.92223147022799e-12	14.2605993460016
ARG1	4.00356503406943	4.75898736244362	964.016467045242	8.55713969007356e-15	1.12300789605365e-11	14.067671378361
SNCA	3.22670217818861	4.64993446605007	913.168794495218	1.26609998818663e-14	1.52311828578852e-11	13.8975319952642
SLC25A37	1.99550345609051	11.3796977573163	850.129676083066	2.12253187137335e-14	2.3569900073189e-11	13.6731457797848
ART4	3.67669594708702	4.82026232753717	831.403320371541	2.49271791969434e-14	2.5024613727629e-11	13.6033268642365
SOX6	2.26535653983115	6.08360083882012	826.552331346889	2.60023002157408e-14	2.5024613727629e-11	13.584988231767
ITPR2	-1.84049004177149	6.65774112567387	817.793163891894	2.80798391808305e-14	2.53350349009043e-11	-13.5516053838313
ALAS2	1.81085596614437	9.32452799552225	808.517653190162	3.04881367511585e-14	2.58898083611603e-11	13.5158691162518
LGR4	2.55108722206416	5.06753369364605	800.025437774215	3.29006576070194e-14	2.63863274008295e-11	13.4827954214347
SNX22	1.94236604474908	6.04232148508018	726.344677834273	6.60023975996823e-14	5.01479269341586e-11	13.1804402880127
RIPOR3	1.95119640112457	6.24279406711043	689.029257601174	9.64670845741371e-14	6.95512798851363e-11	13.0156208465146
TCP11L2	2.90883606285711	4.99575816536329	684.478076840353	1.01176009807971e-13	6.95512798851363e-11	12.9949224523494
CFAP161	-3.90978620936049	4.15895631944505	674.854676226197	1.12019042397141e-13	7.3504858911142e-11	-12.9507081442491
BPGM	2.0392598664973	5.67827880723902	651.319061147216	1.4457173261669e-13	9.07407622632405e-11	12.8399166141555
RYR3	-3.37003148350829	4.70904756438888	641.046775362086	1.62059217124486e-13	9.74786191003785e-11	-12.7903262634132
H1-0	2.19388362270818	7.21469798530099	635.732748850723	1.72041747070643e-13	9.93437864284719e-11	12.7643661558687
RYR2	3.74210000293407	3.74481148255323	631.912381960977	1.79650609860811e-13	9.97475463057947e-11	12.7455713041552
ARHGEF6	-1.45686332458677	7.19781030663505	610.902560719198	2.28991413232376e-13	1.16836042498342e-10	-12.6401808026196
GDF15	2.16216402073391	6.71002770711971	605.982883891666	2.4266636165388e-13	1.16836042498342e-10	12.6149904212807
PAQR9	4.04662007767896	3.73057459856515	604.868838699956	2.45890429431696e-13	1.16836042498342e-10	12.6092583745793
MBD2	-2.05057749689819	5.42192741363029	604.596624398708	2.46685604521917e-13	1.16836042498342e-10	-12.6078561932711
HEMGN	1.48277437376868	8.94355459931849	603.172096893149	2.5089479893659e-13	1.16836042498342e-10	12.6005083415413
SLC9A7	-2.43456549800245	5.06554318566531	599.181165106624	2.63128555533077e-13	1.18703869614859e-10	-12.5798320183624
DOCK2	-2.5677536362973	5.21826927091997	593.095327552714	2.83111994041851e-13	1.23848628666308e-10	-12.548041731356
AGPAT4	2.58232313033503	4.82811581884092	572.674521140416	3.63922307300251e-13	1.54517130240777e-10	12.4389913227032
GYPB	1.47735932429801	7.3784711082365	566.740533862058	3.92111810902685e-13	1.61729317205462e-10	12.4065900760048
ATG4A	1.49815690570425	6.60253226835641	562.218150597505	4.15266212195444e-13	1.66521751090373e-10	12.3816734034772
MALT1	-2.25410006636048	5.06624354803358	553.617222412941	4.63723532731759e-13	1.80927376176099e-10	-12.333740864259
RAB3IP	2.69762013115014	4.46106102410771	550.490932647243	4.82905397402873e-13	1.83453218865997e-10	12.3161379404908
SMIM5	1.86266440598721	5.3272967747172	544.746923436279	5.20547145062655e-13	1.88056755853359e-10	12.2835399310654
PRKCB	-1.69983406727674	5.76615932682566	543.664177698107	5.28010225107752e-13	1.88056755853359e-10	-12.277357667116
OSBPL1A	-1.48637249127368	6.41785635816862	542.792892813796	5.34104114019654e-13	1.88056755853359e-10	-12.2723740767975
SELENBP1	2.84349337386071	5.75292923537898	540.769896211989	5.48563928915761e-13	1.88549258995903e-10	12.2607727530346
HPGD	-2.72543994106926	5.0934303914606	532.366453337442	6.13586888857558e-13	2.0599396110576e-10	-12.212123928977
CHST2	1.80570827320858	6.12853499037976	519.60208605831	7.29830558258401e-13	2.39450771341325e-10	12.1367779565302
OSBPL6	-2.63580594962661	4.59109238413071	516.344369166087	7.63379835679506e-13	2.44892251285986e-10	-12.1172593159206
FAM13A	3.42785139798084	4.07358325608024	513.90967118724	7.89599170965351e-13	2.45532694893292e-10	12.1025933163229
GALM	-1.9871394093862	5.37517355291864	513.023705283956	7.99392952340309e-13	2.45532694893292e-10	-12.0972396849141
SAMD5	-3.02253120791728	4.18344877310887	496.03763336236	1.01667277811391e-12	3.05764338017759e-10	-11.9928188047239
YPEL5	1.45145878912964	6.15345197865276	493.63786478332	1.0524790849856e-12	3.10073225935758e-10	11.9777865257684
TSPAN5	4.0358838418327	3.52219530087588	491.243106475386	1.08964595673473e-12	3.14602580628451e-10	11.96271458831
VWA5A	-1.43106204860257	6.30956702789019	486.570600685597	1.16654029268248e-12	3.30199522846359e-10	-11.933100255938
SYNE3	1.57632153265304	6.47169488658226	482.38829099288	1.24063129869075e-12	3.44418335151917e-10	11.9063572666361
IL6ST	1.38090489003464	6.49670510501947	475.940785647276	1.36557318366864e-12	3.71951216593217e-10	11.8646850202318
RAP1GAP	2.46464074106961	5.96111023945093	460.248627206975	1.73410788727123e-12	4.63584841863842e-10	11.7609238864509
DDI2	1.20332271830445	8.2749162340122	458.318620476045	1.78679391012082e-12	4.63679297129581e-10	11.7479255363913
GCSAML	-2.5070336962779	4.66298668199254	457.891409381408	1.79870051532672e-12	4.63679297129581e-10	-11.745041140917
PTPRJ	2.11660895760885	5.26759820371709	454.478559129327	1.89712349106583e-12	4.8047148626362e-10	11.7219043982927
TNS1	3.19396530011921	4.80038192983771	452.633442311817	1.95287541986806e-12	4.86063957951987e-10	11.7093254608543
NUDT4	1.6104195293964	8.4850284803959	450.855029094419	2.00838014238207e-12	4.91406368397077e-10	11.6971540813111
SH3BGRL2	3.76871309109516	3.66802338103185	445.406437793924	2.18991854412954e-12	5.26894401717567e-10	11.6595720388096
ISG20	3.18224175729838	3.94923680676116	439.665412061853	2.4016665668016e-12	5.68368173087671e-10	11.6194872876283
FZD3	-1.36106285932771	6.13235656107697	437.062265144721	2.50527746309844e-12	5.79743715449841e-10	-11.6011441683917
KAT2B	1.28914190356117	6.622053036756	436.457889370265	2.53005362104046e-12	5.79743715449841e-10	11.5968702744466
SCN2A	-4.73626813563684	3.70240915631008	434.170477122469	2.62637943293813e-12	5.87474950314028e-10	-11.5806425312064
GSTM3	-1.52334091888025	5.87332222180474	432.941161280653	2.67986525271216e-12	5.87474950314028e-10	-11.5718870423424
SIGLEC6	-2.56979581657875	4.43981928468798	431.696871887647	2.73526661173251e-12	5.87474950314028e-10	-11.5630003357433
DCAF11	1.22953234565714	7.58023117800083	431.043152925904	2.76489391587375e-12	5.87474950314028e-10	11.5583215271566
C12orf75	-3.74114431217088	4.18407443859151	430.99109022059	2.7672690926402e-12	5.87474950314028e-10	-11.5579486074776
BGLT3	3.90716765862924	3.39147008852859	427.249547956263	2.94419528811066e-12	6.15976857669064e-10	11.5310333866797
GRAMD4	-1.37285554787614	6.28954186610052	422.705533824128	3.17660545162822e-12	6.5277138493289e-10	-11.4980367231085
FOXO3	1.65101776766868	8.2305772189192	422.074518287227	3.21049933016315e-12	6.5277138493289e-10	11.4934274163584
RALB	-1.32990679244897	6.71006587982945	416.374935937633	3.53598680952788e-12	7.08965355310339e-10	-11.4514893637268
DOCK11	-1.55158045538213	5.62764283443283	414.983450927524	3.6210432143811e-12	7.16073696476789e-10	-11.4411662921796
AQP1	2.77537838758101	4.37869779340574	413.730263852771	3.69964027291544e-12	7.21729824051449e-10	11.4318405016311
IRAK3	-2.18388599555804	4.81190547901547	412.729839622707	3.7637776554749e-12	7.24451923125808e-10	-11.4243760403597
KLF9	1.39861144752121	6.62208258111299	407.881046588484	4.09309796647756e-12	7.62928385038254e-10	11.3879478605853
UBE2H	1.53027880427418	5.76077771603507	407.281029349507	4.13608133309589e-12	7.62928385038254e-10	11.3834109297382
MACF1	-1.24338034784581	8.60554528353885	406.764116809661	4.17352295238057e-12	7.62928385038254e-10	-11.3794971937442
GABARAPL1	3.50009244618627	3.57454948882996	406.742841680709	4.17507220961638e-12	7.62928385038254e-10	11.3793360088111
OPTN	1.28982531804965	6.28459535546105	403.477897824293	4.42076132207395e-12	7.97726380568245e-10	11.3545029321207
RUNX1T1	4.7130475310714	2.99675486044442	401.534524965182	4.57478552727417e-12	8.15328442860863e-10	11.3396292614893
FAM210B	1.18990484598394	8.02094690181022	400.701721439213	4.64265001866179e-12	8.17332874017092e-10	11.3332340539373
RHAG	1.31566703952919	9.83379667881906	399.177161525177	4.76987072128005e-12	8.29612695571069e-10	11.3214933915669
POF1B	2.44347760984165	4.82769110861271	397.825799951083	4.88595841005404e-12	8.39686852470716e-10	11.3110502341209
ATF5	2.04228615210411	5.83661856984326	395.679444616215	5.07700075355632e-12	8.62253916215754e-10	11.294392772135
NUDT4P2	1.4296390589585	7.72200725950777	394.413988066941	5.19360802104033e-12	8.65216671169657e-10	11.2845308311263
UROS	1.12800611969608	7.11312181222752	394.19264759187	5.21431493431423e-12	8.65216671169657e-10	11.2828027418473
DPY19L2	-1.77869095396395	5.05560635767365	390.612119776084	5.56266393858794e-12	9.12529734289267e-10	-11.2547171766267
NCOA4	1.147237150599	8.52920237601084	388.0292454783	5.83039076389478e-12	9.45702483905449e-10	11.2343023370221
CLCN3	1.18431777821717	8.47966569602574	385.589466347316	6.09680617253873e-12	9.7065750961855e-10	11.214897611692
ACSBG1	1.21753707063127	7.04628837722752	385.39420216908	6.11871940809698e-12	9.7065750961855e-10	11.2133394621995
IQGAP1	-1.4346581683225	5.8291419174515	383.691957331032	6.3135891664225e-12	9.90684491374731e-10	-11.1997236816393
SMIM10	-1.23618141976654	6.48644831756419	382.323651184335	6.47535173075041e-12	9.91095601601504e-10	-11.1887366364243
GYPA	1.42630256614483	8.74137686543688	382.141033629493	6.4972950993907e-12	9.91095601601504e-10	11.1872674076495
KCTD15	-3.13471258298558	4.12994351157621	381.934844216039	6.52217249599217e-12	9.91095601601504e-10	-11.1856077193193
ALDH1A1	-5.49166795577769	3.09925610426228	377.558896579661	7.07654411853584e-12	1.06413532182483e-09	-11.150178781388
CSF2RB	-2.2773351489332	4.74256586501191	372.187246051045	7.83172352306915e-12	1.16555423483532e-09	-11.1061426524772
RHEX	-3.73846693663504	3.22411269495265	370.034348378129	8.15978733907711e-12	1.20198663292773e-09	-11.0883211597105
VIM	-1.81804330621318	6.78303229385609	368.881584541324	8.34185156079317e-12	1.21639362759202e-09	-11.0787375424813
FOXO3B	1.4597324347357	5.44930202787243	365.007180950142	8.98846716184378e-12	1.29757511948377e-09	11.0463143638744
FLNB	-1.28753587901829	6.55091438131887	363.686534885843	9.22175091120381e-12	1.31807124905087e-09	-11.0351866126903
IRAK2	3.67723919991269	3.31355164152204	361.229716201191	9.67427670529731e-12	1.35874024673059e-09	11.0143814950057
