logFC	logCPM	F	PValue	FDR	rank
SCN2A	-3.61576917044128	5.38762002289424	1278.46930107567	2.13129472333759e-13	2.17149612402401e-09	-12.6713564902816
RYR3	-3.43889746423003	5.8068813879646	1167.44797671653	3.62552739297273e-13	2.17149612402401e-09	-12.4406288091763
TRIM10	5.6169282771504	4.91312376797298	1124.53523521888	4.51266858691607e-13	2.17149612402401e-09	12.3455665601556
SLC4A1	5.57229671349325	6.03144894800736	959.864249324095	1.13748391607868e-12	4.10517945312795e-09	11.9440547355128
HPGD	-2.68114547977002	8.47838042371405	918.573247549374	1.47002762859826e-12	4.24426376928891e-09	-11.832674502779
ZNF521	-2.38400065887617	6.92263849354758	804.309112787807	3.18753576333439e-12	7.66921104658255e-09	-11.4965449338579
MS4A2	-6.16176855433924	5.32933495577826	674.623506239075	8.8599976225782e-12	1.82718465256484e-08	-11.0525663946481
VWA5A	-2.38624022230469	6.26708805350746	551.628730911315	2.84534654397025e-11	4.89516470927688e-08	-10.5458648319162
MCF2	-3.96082985985381	3.91792968884799	539.219854445869	3.24558676482402e-11	4.89516470927688e-08	-10.4887067763093
ID4	-7.2333154554071	3.68065361259141	535.150118313863	3.39094258054647e-11	4.89516470927688e-08	-10.4696795641479
SLC6A19	3.56397689929251	4.27753761931169	515.755899561227	4.19746499637114e-11	5.5086004261467e-08	10.3770129168567
ZNF648	6.74816434320945	2.95807616385949	485.818302912583	5.92860140560013e-11	7.13210749093695e-08	10.2270477473557
RYR2	3.63324536613274	4.35881535602636	446.415193821632	9.65468824322715e-11	1.07211599599405e-07	10.0152617453369
ELMO1	-1.73586454227336	6.40844777426074	421.590736953478	1.34200047090157e-10	1.3837941998525e-07	-9.87224733177514
MBD2	-1.81080871789356	5.83005519803042	398.679175804174	1.85023777625538e-10	1.78066883586818e-07	-9.7327724563105
NEO1	1.95402170624217	5.30706985622924	391.512507915588	2.05334025515688e-10	1.85262624521529e-07	9.68753907854321
SNAI2	-2.92018151110136	3.72723194455953	380.817828659749	2.40703490549588e-10	2.04399740563168e-07	-9.61851761177967
DNAH8	-4.65606519191692	2.85594502596351	376.095513853159	2.58559922298316e-10	2.0736505768325e-07	-9.58743879141842
MPDZ	-4.25959277533821	2.56509320858041	367.769005082771	2.9396499317045e-10	2.23351507442559e-07	-9.53170438447937
ITPRIPL2	3.20481309635777	4.12921158071734	364.410864593306	3.09828453544003e-10	2.23634177768061e-07	9.50887870068362
FAM49A	-1.57808401838389	6.06181926082956	353.087511603837	3.71211611786015e-10	2.55181467987758e-07	-9.43037844717377
CFD	3.20203166328096	4.4565312178337	344.370450445714	4.28287510142136e-10	2.81034477109631e-07	9.36826459045387
PLEKHA5	-3.30412985676259	3.9375106693045	338.952541576247	4.68936170971683e-10	2.84726108039654e-07	-9.32888626705312
LINC01344	4.05566157131573	3.70592217586081	338.396218493662	4.73360113116632e-10	2.84726108039654e-07	9.32480833994973
C12orf75	-1.74241868366377	5.04955398005362	319.316869670386	6.59363896508704e-10	3.80743088399986e-07	-9.18087483635014
FBN1	-1.3094491608899	7.36702610863265	310.945406847472	7.67227269038322e-10	4.2598818676297e-07	-9.11507596972894
MYO18B	7.72727920917308	2.28252215461135	307.31758268384	8.20298001551824e-10	4.38585998163042e-07	9.08602834649617
SAMD5	-1.74280106240661	6.66013823392807	288.769995487312	1.16910869096261e-09	5.68216239028684e-07	-8.93214511100157
DOCK10	-1.92969990109587	4.74798694393529	288.406977801434	1.17749991854917e-09	5.68216239028684e-07	-8.92903911424038
OSBPL6	-2.75608449897826	3.68448752187088	286.67217921993	1.21858580755028e-09	5.68216239028684e-07	-8.91414388426053
MRC2	2.41630793634002	3.67914179800275	286.605720948161	1.2201928103276e-09	5.68216239028684e-07	8.91357153830466
ALDH1A1	-5.89100796043507	2.99789049245918	283.627770439563	1.29481285786388e-09	5.84122450503841e-07	-8.88779299657901
IKZF2	-1.82998628440811	6.5297522851286	281.745147881221	1.3447411604127e-09	5.88263133082354e-07	-8.87136130184932
OCLN	4.23415451278591	2.25153072102913	278.610968406527	1.43294661880035e-09	6.08412276147115e-07	8.84376998796431
SYTL2	-3.42483127324084	3.43086683416634	273.862468829276	1.57981833939553e-09	6.51607358500396e-07	-8.8013928489531
SLC2A1	1.44496694181989	6.77256051006613	261.713728978565	2.043283107913e-09	8.19356526273115e-07	8.68967145535181
CARMIL1	-3.05934905209113	3.17844962656289	254.749192363088	2.38036149068541e-09	9.28726985933368e-07	-8.62335708433486
LGR4	2.05961093100552	4.59430488213459	251.88086104389	2.537822969755e-09	9.64035531800117e-07	8.59553867614992
MYLK3	2.35928980231914	3.58643245397423	250.103218406405	2.6415239762475e-09	9.64035531800117e-07	8.57814544301046
CYTL1	-4.07117073008389	2.7890459836744	249.609518169635	2.67119848102e-09	9.64035531800117e-07	-8.57329384091566
H1-0	4.06002382780187	2.27120529119989	242.361706710715	3.15506724028908e-09	1.10262521820745e-06	8.50099138070659
PKP3	7.37578142138272	2.70214098070084	241.64895127039	3.20797029403665e-09	1.10262521820745e-06	8.4937696619576
MME	-2.84940964864083	3.47203931183548	240.167327984518	3.32129738028776e-09	1.10444637886652e-06	-8.4786922370677
PTPRJ	2.8517204618804	3.46340274177632	239.124939474062	3.40383757947592e-09	1.10444637886652e-06	8.4680311712726
PDIA2	1.68368092820936	6.01188058863114	238.643257259589	3.44278796404777e-09	1.10444637886652e-06	8.46308972399288
AKR1B1	-3.98505764104411	2.75895103753198	232.001697133004	4.03677058274388e-09	1.22847272099126e-06	-8.39396593165968
SLC16A3	2.12437909364409	5.14295627836971	231.678946586741	4.06856412890246e-09	1.22847272099126e-06	8.39055883424402
LPP	-2.91535544924708	3.11582556480679	231.516297376164	4.08469732665425e-09	1.22847272099126e-06	-8.38884011887059
EXOC6B	-1.59181331641573	4.76469856497711	229.878399543746	4.25140154681803e-09	1.25251495367072e-06	-8.37146787378342
VIM	-1.41919081904145	9.75724228915645	228.952382941029	4.34916844354501e-09	1.25569191302032e-06	-8.36159377175856
PTGER3	-2.50131896474541	3.71456517853905	227.380713355432	4.52118744498568e-09	1.26811715361207e-06	-8.34474748707422
SNCA	2.63087426396042	3.5867249045245	226.966036472921	4.56789221306649e-09	1.26811715361207e-06	8.34028415253426
RHEX	-1.08185758327107	6.77355870481353	223.664679846535	4.96054949823954e-09	1.35114136899219e-06	-8.30447021245435
LPL	-2.9407410739671	2.74651646843944	222.239690559197	5.14214661439262e-09	1.37466719491429e-06	-8.28885554478497
PRCD	5.23912655221681	2.05887884207106	215.952975965225	6.04215489148398e-09	1.58590087297205e-06	8.21880814572038
TWSG1	-1.03893607139345	7.34711528943068	209.47008932709	7.16949173655708e-09	1.84819254837389e-06	-8.14451163147763
HDGFL3	-1.23340845325149	5.86120250620724	206.033134255163	7.86627115244097e-09	1.99223667292347e-06	-8.10423108742294
GVINP2	3.22069849750707	2.93621772902565	204.301429485077	8.2472028739377e-09	2.05270035669249e-06	8.08369332204315
TET1	3.92560333501071	1.96265025070905	203.388922085944	8.45659397628864e-09	2.06914221426615e-06	8.07280452054867
SYBU	3.99214590914626	2.02659633830432	199.786898860484	9.34620898626929e-09	2.24869788209639e-06	8.02936451214449
SIGLEC6	-1.37016956824157	5.55939859119155	198.119957867873	9.79468900797855e-09	2.26438295693572e-06	-8.00900934877215
SH3BGRL2	3.67447742058104	2.83862107240558	198.033976552022	9.81849617687326e-09	2.26438295693572e-06	8.0079550246467
IQGAP2	-1.06103339642135	7.99266061507093	197.703453258654	9.91064632544155e-09	2.26438295693572e-06	-8.00389802196076
PPP1R3G	3.31832813375588	2.20749670338672	197.146721084482	1.00681606187983e-08	2.26438295693572e-06	7.99704986470677
ATP7B	1.12352259515614	7.56460066471579	196.703402044523	1.01956838598519e-08	2.26438295693572e-06	7.99158363927284
DOCK5	-2.13888620042927	3.39019861805651	190.537513999397	1.21808518314489e-08	2.66428450058782e-06	-7.9143223395552
KCTD15	-4.03346059336318	2.19822041296187	187.839086556885	1.3189768844562e-08	2.8419030304492e-06	-7.87976281555378
RBBP9	1.07226535659746	5.66650735163647	186.148288795692	1.38717645139582e-08	2.94489400769853e-06	7.85786829235609
CFAP54	-2.97590615939914	2.20688113222582	183.513112796324	1.50187118798069e-08	3.1234799765939e-06	-7.82336731416817
EPHA3	9.23414699053282	1.92000489312953	281.638123428175	1.51884337109673e-08	3.1234799765939e-06	7.81848700992633
CPEB4	1.0311911959467	5.83165111679546	182.622856416449	1.54310022872897e-08	3.1234799765939e-06	7.81160586436444
LTBP1	2.88309198224804	2.33376097419794	182.311197559215	1.5578453748598e-08	3.1234799765939e-06	7.80747565075697
TPO	-1.81085112570147	4.10976826408084	181.697094057902	1.58738475218423e-08	3.13910770993583e-06	-7.79931779567839
LANCL3	2.00383163370904	3.50745242561505	181.153038025006	1.61410321238439e-08	3.14880999648392e-06	7.79206869815432
PLIN2	1.01479500489581	8.94013377828238	179.727126803735	1.68666290900813e-08	3.24648876725885e-06	7.77297170542859
PITX1	2.6522174151995	3.33346155068869	176.716911060419	1.85275174366612e-08	3.48121337273433e-06	7.73218276933675
STAR	1.72848247116274	4.55905092341006	176.646839118635	1.85684005057179e-08	3.48121337273433e-06	7.73122550506251
ABHD17C	-4.58894680816692	1.6116308238488	174.981204614846	1.95719881016889e-08	3.55969109021321e-06	-7.70836505693072
ACSBG1	1.46503524188292	5.58727425434542	174.81680257879	1.96744419655846e-08	3.55969109021321e-06	7.70609757687
SOCS6	-1.06055530116696	5.94247740028885	174.733260772906	1.97267447504196e-08	3.55969109021321e-06	-7.70494457483747
PREX1	-1.32235317542015	5.45245491188127	174.207094914221	2.00599225798958e-08	3.57512397979476e-06	-7.69767074744665
FUT9	-2.16410889722232	5.14229459376826	172.54470962931	2.11566578040609e-08	3.72376860417542e-06	-7.6745529383333
FGF9	3.50399031727266	2.26769782275135	172.175212135678	2.14098638228429e-08	3.72376860417542e-06	7.66938609502111
VAV3	-1.85852016693783	4.66945176353912	171.354649430828	2.19849555288903e-08	3.77827164303644e-06	-7.65787440853311
OSBPL1A	-0.915034150323421	6.4391643106519	170.742511807129	2.2425756022957e-08	3.8086848699695e-06	-7.64925290698782
SLC22A16	1.78569399150782	4.01927693784114	169.25965478144	2.35371075906323e-08	3.95094982765543e-06	7.62824690744872
SLC45A4	1.6986639171861	4.26431406444519	168.06457338849	2.4479849089922e-08	4.06196668347258e-06	7.61119126379838
AREG	2.83231755016868	2.21834793950097	165.618496526427	2.65507079937551e-08	4.35552296133919e-06	7.57592389365289
VLDLR	-3.03130152998643	2.59012327511169	165.177582678587	2.69454313759312e-08	4.37060952070722e-06	-7.56951485928685
ALCAM	3.06213214792529	2.87901565020109	163.914359439576	2.81148889261848e-08	4.46282526233084e-06	7.5510636279234
GALNT1	-0.959257801471223	7.10506498438351	163.705753511967	2.83136718183606e-08	4.46282526233084e-06	-7.54800380611889
RUNX1T1	3.52524021981247	2.23569118564425	163.572624449458	2.84413912534246e-08	4.46282526233084e-06	7.54604916325497
CERK	2.2510356968478	3.43051743313204	159.621610003851	3.25574517152792e-08	5.01370788991791e-06	7.48734959485478
AQP1	3.27768402520189	2.18670545754972	159.542471170615	3.26467540629179e-08	5.01370788991791e-06	7.48615999241773
MLPH	8.79840537476655	1.50389968321428	237.839896383233	3.38233682012497e-08	5.13972782477095e-06	7.47078314663833
PDK4	2.50179566807418	3.00326958748344	156.899953406182	3.57999535586112e-08	5.38341801637616e-06	7.44611753674305
ZNF441	-1.59392735397262	3.92219868397841	154.160187943254	3.94521040288926e-08	5.86354596176709e-06	-7.40392983038178
NLRC5	3.08557124525414	2.70868920400002	153.911154074729	3.98051748582138e-08	5.86354596176709e-06	7.40006046394959
GASK1B	-3.65208804626952	2.95280238279064	152.192145423517	4.23456944056671e-08	6.17477216606273e-06	-7.37319074096302
TCEAL9	-4.02373059222204	1.68801972554289	150.267435041412	4.54184773818198e-08	6.55661139483951e-06	-7.34276742924789
NMT2	-1.26614486277723	5.26286482701655	149.185445103447	4.72601670304201e-08	6.75492842822915e-06	-7.32550474778487
ANXA5	-0.92776766822935	6.5995162898448	147.286811049025	5.070738160279e-08	7.17658589037134e-06	-7.29492881470985
CPOX	0.784269446458565	7.7736903875924	146.463983141941	5.22921323278437e-08	7.27112878352939e-06	7.28156364848714
ART4	2.11150952621096	3.34651650244641	146.417816625167	5.23827510035368e-08	7.27112878352939e-06	7.28081169731432
LRIG1	1.80839231917936	3.57813996664532	146.113994920788	5.2983714862321e-08	7.28450388335681e-06	7.27585759515832
SLC25A37	1.11342504822248	9.41567080801841	144.434022302297	5.64560220318749e-08	7.68867107596365e-06	7.24828972609114
AHNAK	-0.932966795468653	10.6698349636968	143.361963131843	5.88110327134338e-08	7.9345426939358e-06	-7.2305411943812
USP9Y	-1.41885684571092	4.89003316274154	140.556575003775	6.5538126416319e-08	8.69340093183779e-06	-7.18350597825246
BGLT3	3.21169835335915	1.9490222120436	140.516670325638	6.564011509908e-08	8.69340093183779e-06	7.1828306660886
RRAGD	1.22772618005118	5.3026756162009	139.978098197643	6.70349239205048e-08	8.79741965196734e-06	7.17369887917459
TSPAN5	4.12144214308617	1.83516816798035	139.00899096117	6.96330327221363e-08	9.05605820159243e-06	7.15718468961823
POF1B	2.28779471585333	4.68006158557062	138.468100435128	7.11342778102461e-08	9.16870030775636e-06	7.1479210732996
C6orf141	3.61944227743693	1.48934235139536	137.033781473392	7.53021518406799e-08	9.58091174051507e-06	7.12319261318601
TTC39A	0.832313183764844	6.80491013295122	136.72904168665	7.62240746429639e-08	9.58091174051507e-06	7.11790783924719
SLC4A7	-1.21455140768986	5.85192093607374	136.672071927081	7.6397885183967e-08	9.58091174051507e-06	-7.11691866322595
CYGB	9.34477483144752	2.01275079107493	199.710669622381	7.69870990509662e-08	9.58091174051507e-06	7.11358204470271
MBP	-0.837055319363681	6.35779302024424	134.121042201365	8.46781705771437e-08	1.04479835081337e-05	-7.07222853323215
RHOXF1P1	6.19306444012807	0.856119968780554	133.080231587074	8.8355017966016e-08	1.08092630454018e-05	7.05376878047452
RESF1	-0.921292241028721	8.11548013789964	132.57773827812	9.01968258023373e-08	1.09418603132987e-05	-7.04480874583706
DOCK2	-0.75336627305079	7.7804483124069	131.340639170886	9.49258846157581e-08	1.14195839192757e-05	-7.02261534697245
ANTXR2	-1.61553186141742	4.06289906576169	130.514964935393	9.82437362737887e-08	1.17210460896563e-05	-7.00769512938457
SRGN	1.41466720659295	4.49820477674488	130.252071337019	9.93284704985396e-08	1.17533262304665e-05	7.00292625192542
SOX6	1.75089446700501	3.58066017025789	127.730573487986	1.10476602413304e-07	1.29616919786454e-05	6.95672969047435
